# z LM (E,E) abs(P1) alpha
0.000000 0.000000 1.000000 1.000000 -0.000000
0.066667 0.000000 1.000000 1.000000 0.000000
0.133333 0.000000 1.000000 1.000000 0.000000
0.200000 0.000000 1.000000 1.000000 0.000000
0.266667 0.000000 1.000000 1.000000 0.000000
0.333333 0.000000 1.000000 1.000000 0.000000
0.400000 0.000000 1.000000 1.000000 0.000000
0.466667 0.000000 1.000000 1.000000 0.000000
0.533333 0.000000 1.000000 1.000000 0.000000
0.600000 0.000000 1.000000 1.000000 0.000000
0.666667 0.000000 1.000000 1.000000 0.000000
0.733333 0.000000 1.000000 1.000000 0.000000
0.800000 0.000000 1.000000 1.000000 0.000000
0.866667 0.000000 1.000000 1.000000 0.000000
0.933333 0.000000 1.000000 1.000000 0.000000
1.000000 0.000000 1.000000 1.000000 0.000000
1.066667 0.000000 1.000000 1.000000 0.000000
1.133333 0.000000 1.000000 1.000000 0.000000
1.200000 0.000000 1.000000 1.000000 0.000000
1.266667 0.000000 1.000000 1.000000 0.000000
1.333333 0.000000 1.000000 1.000000 0.000000
1.400000 0.000000 1.000000 1.000000 0.000000
1.466667 0.000000 1.000000 1.000000 0.000000
1.533333 0.000000 1.000000 1.000000 0.000000
1.600000 0.000000 1.000000 1.000000 0.000000
1.666667 0.000000 1.000000 1.000000 0.000000
1.733333 0.000000 1.000000 1.000000 0.000000
1.800000 0.000000 1.000000 1.000000 0.000000
1.866667 0.000000 1.000000 1.000000 0.000000
1.933333 0.000000 1.000000 1.000000 0.000000
2.000000 0.000000 1.000000 1.000000 0.000000
2.066667 0.000000 1.000000 1.000000 0.000000
2.133333 0.000000 1.000000 1.000000 0.000000
2.200000 0.000001 1.000000 1.000000 0.000000
2.266667 0.000001 1.000000 1.000000 0.000000
2.333333 0.000001 1.000000 1.000000 0.000000
2.400000 0.000001 1.000000 1.000000 0.000000
2.466667 0.000001 1.000000 1.000000 0.000000
2.533333 0.000001 1.000000 1.000000 0.000000
2.600000 0.000001 1.000000 1.000000 0.000000
2.666667 0.000001 1.000000 1.000000 0.000000
2.733333 0.000001 1.000000 1.000000 0.000000
2.800000 0.000001 1.000000 1.000000 0.000000
2.866667 0.000001 1.000000 1.000000 0.000000
2.933333 0.000001 1.000000 1.000000 0.000000
3.000000 0.000001 1.000000 1.000000 0.000000
3.066667 0.000001 1.000000 1.000000 0.000001
3.133333 0.000001 1.000000 1.000000 0.000001
3.200000 0.000001 1.000000 1.000000 0.000001
3.266667 0.000001 1.000000 1.000000 0.000001
3.333333 0.000001 1.000000 1.000000 0.000001
3.400000 0.000001 1.000000 1.000000 0.000001
3.466667 0.000001 1.000000 1.000000 0.000001
3.533333 0.000001 1.000000 1.000000 0.000001
3.600000 0.000001 1.000000 1.000000 0.000001
3.666667 0.000001 1.000000 1.000000 0.000001
3.733333 0.000001 1.000000 1.000000 0.000001
3.800000 0.000001 1.000000 1.000000 0.000001
3.866667 0.000001 1.000000 1.000000 0.000001
3.933333 0.000001 1.000000 1.000000 0.000001
4.000000 0.000001 1.000000 1.000000 0.000001
4.066667 0.000001 1.000000 1.000000 0.000001
4.133333 0.000001 1.000000 1.000000 0.000001
4.200000 0.000001 1.000000 1.000000 0.000001
4.266667 0.000001 1.000000 1.000000 0.000001
4.333333 0.000001 1.000000 1.000000 0.000001
4.400000 0.000001 1.000000 1.000000 0.000001
4.466667 0.000001 1.000000 1.000000 0.000001
4.533333 0.000001 1.000000 1.000000 0.000001
4.600000 0.000001 1.000000 1.000000 0.000001
4.666667 0.000001 1.000000 1.000000 0.000001
4.733333 0.000001 1.000000 1.000000 0.000001
4.800000 0.000001 1.000000 1.000000 0.000001
4.866667 0.000001 1.000000 1.000000 0.000001
4.933333 0.000001 1.000000 1.000000 0.000001
5.000000 0.000001 1.000000 1.000000 0.000001
5.066667 0.000001 1.000000 1.000000 0.000001
5.133333 0.000001 1.000000 1.000000 0.000001
5.200000 0.000001 1.000000 1.000000 0.000001
5.266667 0.000001 1.000000 1.000000 0.000001
5.333333 0.000001 1.000000 1.000000 0.000001
5.400000 0.000001 1.000000 1.000000 0.000001
5.466667 0.000001 1.000000 1.000000 0.000001
5.533333 0.000001 1.000000 1.000000 0.000001
5.600000 0.000001 1.000000 1.000000 0.000001
5.666667 0.000001 1.000000 1.000000 0.000001
5.733333 0.000001 1.000000 1.000000 0.000001
5.800000 0.000001 1.000000 1.000000 0.000001
5.866667 0.000001 1.000000 1.000000 0.000001
5.933333 0.000001 1.000000 1.000000 0.000001
6.000000 0.000001 1.000000 1.000000 0.000001
6.066667 0.000001 1.000000 1.000000 0.000001
6.133333 0.000001 1.000000 1.000000 0.000001
6.200000 0.000001 1.000000 1.000000 0.000001
6.266667 0.000001 1.000000 1.000000 0.000001
6.333333 0.000001 1.000000 1.000000 0.000001
6.400000 0.000001 1.000000 1.000000 0.000001
6.466667 0.000001 1.000000 1.000000 0.000001
6.533333 0.000001 1.000000 1.000000 0.000001
6.600000 0.000001 1.000000 1.000000 0.000001
6.666667 0.000001 1.000000 1.000000 0.000001
6.733333 0.000001 1.000000 1.000000 0.000001
6.800000 0.000001 1.000000 1.000000 0.000001
6.866667 0.000001 1.000000 1.000000 0.000001
6.933333 0.000001 1.000000 1.000000 0.000001
7.000000 0.000001 1.000000 1.000000 0.000001
7.066667 0.000001 1.000000 1.000000 0.000001
7.133333 0.000001 1.000000 1.000000 0.000001
7.200000 0.000001 1.000000 1.000000 0.000001
7.266667 0.000001 1.000000 1.000000 0.000001
7.333333 0.000001 1.000000 1.000000 0.000001
7.400000 0.000001 1.000000 1.000000 0.000001
7.466667 0.000001 1.000000 1.000000 0.000001
7.533333 0.000001 1.000000 1.000000 0.000001
7.600000 0.000001 1.000000 1.000000 0.000001
7.666667 0.000001 1.000000 1.000000 0.000001
7.733333 0.000001 1.000000 1.000000 0.000001
7.800000 0.000001 1.000000 1.000000 0.000001
7.866667 0.000001 1.000000 1.000000 0.000001
7.933333 0.000001 1.000000 1.000000 0.000001
8.000000 0.000001 1.000000 1.000000 0.000001
8.066667 0.000001 1.000000 1.000000 0.000001
8.133333 0.000001 1.000000 1.000000 0.000001
8.200000 0.000001 1.000000 1.000000 0.000001
8.266667 0.000001 1.000000 1.000000 0.000001
8.333333 0.000001 1.000000 1.000000 0.000001
8.400000 0.000001 1.000000 1.000000 0.000001
8.466667 0.000001 1.000000 1.000000 0.000001
8.533333 0.000001 1.000000 1.000000 0.000001
8.600000 0.000001 1.000000 1.000000 0.000001
8.666667 0.000001 1.000000 1.000000 0.000001
8.733333 0.000001 1.000000 1.000000 0.000001
8.800000 0.000001 1.000000 1.000000 0.000001
8.866667 0.000001 1.000000 1.000000 0.000001
8.933333 0.000001 1.000000 1.000000 0.000001
9.000000 0.000001 1.000000 1.000000 0.000001
9.066667 0.000001 1.000000 1.000000 0.000001
9.133333 0.000001 1.000000 1.000000 0.000001
9.200000 0.000001 1.000000 1.000000 0.000001
9.266667 0.000001 1.000000 1.000000 0.000001
9.333333 0.000001 1.000000 1.000000 0.000001
9.400000 0.000001 1.000000 1.000000 0.000001
9.466667 0.000001 1.000000 1.000000 0.000001
9.533333 0.000001 1.000000 1.000000 0.000001
9.600000 0.000001 1.000000 1.000000 0.000001
9.666667 0.000001 1.000000 1.000000 0.000001
9.733333 0.000001 1.000000 1.000000 0.000001
9.800000 0.000001 1.000000 1.000000 0.000001
9.866667 0.000001 1.000000 1.000000 0.000001
9.933333 0.000001 1.000000 1.000000 0.000001
10.000000 0.000001 1.000000 1.000000 0.000001
10.066667 0.000001 1.000000 1.000000 0.000001
10.133333 0.000001 1.000000 1.000000 0.000001
10.200000 0.000001 1.000000 1.000000 0.000001
10.266667 0.000001 1.000000 1.000000 0.000001
10.333333 0.000001 1.000000 1.000000 0.000001
10.400000 0.000001 1.000000 1.000000 0.000001
10.466667 0.000001 1.000000 1.000000 0.000001
10.533333 0.000001 1.000000 1.000000 0.000001
10.600000 0.000001 1.000000 1.000000 0.000001
10.666667 0.000001 1.000000 1.000000 0.000001
10.733333 0.000001 1.000000 1.000000 0.000001
10.800000 0.000001 1.000000 1.000000 0.000001
10.866667 0.000001 1.000000 1.000000 0.000001
10.933333 0.000001 1.000000 1.000000 0.000001
11.000000 0.000001 1.000000 1.000000 0.000001
11.066667 0.000001 1.000000 1.000000 0.000000
11.133333 0.000001 1.000000 1.000000 0.000000
11.200000 0.000001 1.000000 1.000000 0.000000
11.266667 0.000001 1.000000 1.000000 0.000000
11.333333 0.000001 1.000000 1.000000 0.000000
11.400000 0.000001 1.000000 1.000000 0.000000
11.466667 0.000001 1.000000 1.000000 0.000000
11.533333 0.000001 1.000000 1.000000 0.000000
11.600000 0.000001 1.000000 1.000000 0.000000
11.666667 0.000001 1.000000 1.000000 0.000000
11.733333 0.000001 1.000000 1.000000 0.000000
11.800000 0.000001 1.000000 1.000000 0.000000
11.866667 0.000001 1.000000 1.000000 0.000000
11.933333 0.000001 1.000000 1.000000 0.000000
12.000000 0.000001 1.000000 1.000000 0.000000
12.066667 0.000001 1.000000 1.000000 0.000000
12.133333 0.000001 1.000000 1.000000 0.000000
12.200000 0.000001 1.000000 1.000000 0.000000
12.266667 0.000001 1.000000 1.000000 0.000000
12.333333 0.000001 1.000000 1.000000 0.000000
12.400000 0.000000 1.000000 1.000000 0.000000
12.466667 0.000000 1.000000 1.000000 0.000000
12.533333 0.000000 1.000000 1.000000 0.000000
12.600000 0.000000 1.000000 1.000000 0.000000
12.666667 0.000000 1.000000 1.000000 0.000000
12.733333 0.000000 1.000000 1.000000 0.000000
