# z LM (E,E) abs(P1) alpha
0.000000 0.002158 1.000000 0.999752 -0.000000
0.066667 0.008632 1.000001 0.999007 -0.000003
0.133333 0.019423 1.000002 0.997766 -0.000008
0.200000 0.034536 1.000004 0.996032 -0.000015
0.266667 0.053971 1.000006 0.993806 -0.000024
0.333333 0.077735 1.000008 0.991090 -0.000035
0.400000 0.105831 1.000011 0.987890 -0.000048
0.466667 0.138266 1.000015 0.984208 -0.000062
0.533333 0.175047 1.000018 0.980049 -0.000079
0.600000 0.216181 1.000023 0.975418 -0.000097
0.666667 0.261678 1.000027 0.970323 -0.000117
0.733333 0.311546 1.000032 0.964768 -0.000139
0.800000 0.365797 1.000038 0.958761 -0.000163
0.866667 0.424440 1.000044 0.952309 -0.000189
0.933333 0.487489 1.000050 0.945422 -0.000217
1.000000 0.554955 1.000057 0.938107 -0.000247
1.066667 0.626852 1.000064 0.930374 -0.000278
1.133333 0.703193 1.000072 0.922232 -0.000312
1.200000 0.783994 1.000080 0.913693 -0.000347
1.266667 0.869268 1.000089 0.904767 -0.000384
1.333333 0.959031 1.000098 0.895465 -0.000424
1.400000 1.053300 1.000107 0.885799 -0.000465
1.466667 1.152089 1.000117 0.875781 -0.000508
1.533333 1.255414 1.000128 0.865425 -0.000553
1.600000 1.363293 1.000138 0.854743 -0.000600
1.666667 1.475741 1.000150 0.843748 -0.000648
1.733333 1.592772 1.000161 0.832456 -0.000699
1.800000 1.714404 1.000173 0.820880 -0.000752
1.866667 1.840650 1.000186 0.809035 -0.000806
1.933333 1.971525 1.000199 0.796937 -0.000863
2.000000 2.107040 1.000213 0.784599 -0.000921
2.066667 2.247207 1.000226 0.772040 -0.000982
2.133333 2.392037 1.000241 0.759273 -0.001044
2.200000 2.541536 1.000256 0.746317 -0.001109
2.266667 2.695710 1.000271 0.733187 -0.001175
2.333333 2.854561 1.000287 0.719900 -0.001243
2.400000 3.018089 1.000303 0.706473 -0.001313
2.466667 3.186290 1.000319 0.692924 -0.001385
2.533333 3.359153 1.000336 0.679270 -0.001459
2.600000 3.536665 1.000354 0.665529 -0.001535
2.666667 3.718807 1.000372 0.651718 -0.001613
2.733333 3.905551 1.000390 0.637856 -0.001693
2.800000 4.096863 1.000409 0.623960 -0.001775
2.866667 4.292702 1.000428 0.610049 -0.001859
2.933333 4.493014 1.000448 0.596141 -0.001945
3.000000 4.697737 1.000468 0.582255 -0.002032
3.066667 4.906796 1.000489 0.568408 -0.002122
3.133333 5.120101 1.000510 0.554619 -0.002214
3.200000 5.337550 1.000532 0.540907 -0.002307
3.266667 5.559022 1.000554 0.527289 -0.002403
3.333333 5.784378 1.000576 0.513785 -0.002500
3.400000 6.013458 1.000599 0.500411 -0.002599
3.466667 6.246081 1.000622 0.487187 -0.002700
3.533333 6.482040 1.000646 0.474131 -0.002803
3.600000 6.721103 1.000670 0.461259 -0.002908
3.666667 6.963009 1.000695 0.448590 -0.003015
3.733333 7.207465 1.000720 0.436141 -0.003123
3.800000 7.454147 1.000745 0.423929 -0.003234
3.866667 7.702696 1.000771 0.411970 -0.003346
3.933333 7.952717 1.000797 0.400280 -0.003460
4.000000 8.203778 1.000824 0.388876 -0.003576
4.066667 8.455410 1.000851 0.377772 -0.003693
4.133333 8.707106 1.000879 0.366982 -0.003813
4.200000 8.958323 1.000906 0.356520 -0.003933
4.266667 9.208484 1.000935 0.346398 -0.004056
4.333333 9.456981 1.000963 0.336629 -0.004180
4.400000 9.703177 1.000992 0.327221 -0.004306
4.466667 9.946419 1.001022 0.318185 -0.004434
4.533333 10.186036 1.001052 0.309527 -0.004563
4.600000 10.421356 1.001082 0.301254 -0.004694
4.666667 10.651712 1.001112 0.293369 -0.004826
4.733333 10.876456 1.001143 0.285876 -0.004960
4.800000 11.094971 1.001174 0.278773 -0.005095
4.866667 11.306686 1.001206 0.272061 -0.005231
4.933333 11.511087 1.001237 0.265733 -0.005369
5.000000 11.707732 1.001269 0.259785 -0.005508
5.066667 11.896266 1.001302 0.254207 -0.005648
5.133333 12.076426 1.001334 0.248988 -0.005790
5.200000 12.248056 1.001367 0.244117 -0.005933
5.266667 12.411109 1.001401 0.239577 -0.006077
5.333333 12.565648 1.001434 0.235352 -0.006222
5.400000 12.711853 1.001468 0.231423 -0.006367
5.466667 12.850009 1.001501 0.227772 -0.006514
5.533333 12.980505 1.001535 0.224375 -0.006662
5.600000 13.103823 1.001570 0.221212 -0.006810
5.666667 13.220528 1.001604 0.218260 -0.006960
5.733333 13.331255 1.001639 0.215495 -0.007110
5.800000 13.436692 1.001673 0.212895 -0.007260
5.866667 13.537574 1.001708 0.210437 -0.007411
5.933333 13.634660 1.001743 0.208098 -0.007563
6.000000 13.728730 1.001778 0.205856 -0.007715
6.066667 13.820567 1.001813 0.203691 -0.007867
6.133333 13.910948 1.001849 0.201582 -0.008020
6.200000 14.000637 1.001884 0.199512 -0.008172
6.266667 14.090377 1.001919 0.197461 -0.008325
6.333333 14.180884 1.001954 0.195414 -0.008478
6.400000 14.272843 1.001990 0.193356 -0.008631
6.466667 14.366907 1.002025 0.191273 -0.008783
6.533333 14.463690 1.002060 0.189154 -0.008936
6.600000 14.563774 1.002095 0.186987 -0.009088
6.666667 14.667701 1.002130 0.184763 -0.009239
6.733333 14.775977 1.002165 0.182474 -0.009390
6.800000 14.889075 1.002200 0.180113 -0.009541
6.866667 15.007431 1.002234 0.177676 -0.009690
6.933333 15.131450 1.002268 0.175157 -0.009839
7.000000 15.261505 1.002303 0.172554 -0.009987
7.066667 15.397939 1.002337 0.169865 -0.010134
7.133333 15.541064 1.002370 0.167089 -0.010280
7.200000 15.691166 1.002404 0.164226 -0.010425
7.266667 15.848502 1.002437 0.161278 -0.010568
7.333333 16.013302 1.002470 0.158247 -0.010710
7.400000 16.185767 1.002502 0.155136 -0.010851
7.466667 16.366069 1.002534 0.151949 -0.010990
7.533333 16.554351 1.002566 0.148690 -0.011127
7.600000 16.750722 1.002597 0.145366 -0.011263
7.666667 16.955255 1.002628 0.141983 -0.011397
7.733333 17.167982 1.002658 0.138548 -0.011528
7.800000 17.388891 1.002688 0.135069 -0.011658
7.866667 17.617918 1.002718 0.131554 -0.011786
7.933333 17.854935 1.002747 0.128013 -0.011911
8.000000 18.099749 1.002775 0.124455 -0.012034
8.066667 18.352082 1.002803 0.120892 -0.012154
8.133333 18.611563 1.002830 0.117333 -0.012272
8.200000 18.877710 1.002857 0.113793 -0.012388
8.266667 19.149914 1.002883 0.110282 -0.012501
8.333333 19.427418 1.002908 0.106814 -0.012611
8.400000 19.709301 1.002933 0.103403 -0.012718
8.466667 19.994451 1.002957 0.100064 -0.012822
8.533333 20.281551 1.002980 0.096810 -0.012923
8.600000 20.569055 1.003003 0.093659 -0.013021
8.666667 20.855178 1.003025 0.090624 -0.013116
8.733333 21.137891 1.003046 0.087721 -0.013208
8.800000 21.414923 1.003067 0.084968 -0.013297
8.866667 21.683789 1.003086 0.082378 -0.013382
8.933333 21.941825 1.003105 0.079967 -0.013464
9.000000 22.186256 1.003123 0.077748 -0.013542
9.066667 22.414285 1.003141 0.075733 -0.013617
9.133333 22.623206 1.003157 0.073933 -0.013688
9.200000 22.810534 1.003173 0.072356 -0.013756
9.266667 22.974142 1.003188 0.071006 -0.013820
9.333333 23.112395 1.003201 0.069884 -0.013880
9.400000 23.224260 1.003215 0.068990 -0.013937
9.466667 23.309385 1.003227 0.068317 -0.013990
9.533333 23.368122 1.003238 0.067857 -0.014039
