# z LM (E,E) abs(P1) alpha
0.000000 0.001529 1.000000 0.999824 -0.000000
1.000000 0.006115 1.000001 0.999296 -0.000002
2.000000 0.013751 1.000001 0.998418 -0.000004
3.000000 0.024423 1.000002 0.997192 -0.000008
4.000000 0.038116 1.000003 0.995621 -0.000012
5.000000 0.054806 1.000004 0.993710 -0.000018
6.000000 0.074467 1.000006 0.991463 -0.000024
7.000000 0.097069 1.000007 0.988887 -0.000031
8.000000 0.122575 1.000009 0.985987 -0.000040
9.000000 0.150945 1.000011 0.982772 -0.000049
10.000000 0.182136 1.000014 0.979249 -0.000059
11.000000 0.216099 1.000016 0.975428 -0.000070
12.000000 0.252782 1.000019 0.971317 -0.000082
13.000000 0.292131 1.000022 0.966926 -0.000095
14.000000 0.334086 1.000025 0.962267 -0.000109
15.000000 0.378585 1.000029 0.957350 -0.000124
16.000000 0.425564 1.000032 0.952186 -0.000140
17.000000 0.474955 1.000036 0.946787 -0.000157
18.000000 0.526688 1.000040 0.941165 -0.000174
19.000000 0.580691 1.000045 0.935331 -0.000193
20.000000 0.636891 1.000049 0.929299 -0.000212
21.000000 0.695211 1.000054 0.923080 -0.000233
22.000000 0.755575 1.000059 0.916687 -0.000254
23.000000 0.817904 1.000064 0.910133 -0.000276
24.000000 0.882118 1.000069 0.903429 -0.000300
25.000000 0.948138 1.000075 0.896588 -0.000324
26.000000 1.015884 1.000081 0.889623 -0.000349
27.000000 1.085274 1.000086 0.882544 -0.000375
28.000000 1.156227 1.000093 0.875364 -0.000402
29.000000 1.228663 1.000099 0.868094 -0.000430
30.000000 1.302501 1.000106 0.860746 -0.000458
31.000000 1.377661 1.000112 0.853330 -0.000488
32.000000 1.454065 1.000120 0.845857 -0.000518
33.000000 1.531633 1.000127 0.838336 -0.000550
34.000000 1.610288 1.000134 0.830779 -0.000582
35.000000 1.689955 1.000142 0.823194 -0.000615
36.000000 1.770557 1.000150 0.815591 -0.000649
37.000000 1.852021 1.000158 0.807977 -0.000684
38.000000 1.934276 1.000166 0.800362 -0.000720
39.000000 2.017250 1.000174 0.792752 -0.000757
40.000000 2.100875 1.000183 0.785157 -0.000794
41.000000 2.185083 1.000192 0.777581 -0.000833
42.000000 2.269810 1.000201 0.770033 -0.000872
43.000000 2.354991 1.000210 0.762519 -0.000912
44.000000 2.440566 1.000220 0.755043 -0.000953
45.000000 2.526475 1.000229 0.747612 -0.000995
46.000000 2.612660 1.000239 0.740231 -0.001038
47.000000 2.699066 1.000249 0.732903 -0.001082
48.000000 2.785639 1.000259 0.725635 -0.001126
49.000000 2.872328 1.000270 0.718429 -0.001171
50.000000 2.959082 1.000281 0.711289 -0.001217
51.000000 3.045856 1.000291 0.704218 -0.001264
52.000000 3.132602 1.000302 0.697220 -0.001312
53.000000 3.219278 1.000314 0.690297 -0.001361
54.000000 3.305843 1.000325 0.683452 -0.001410
55.000000 3.392255 1.000336 0.676686 -0.001460
56.000000 3.478479 1.000348 0.670002 -0.001511
57.000000 3.564477 1.000360 0.663401 -0.001563
58.000000 3.650217 1.000372 0.656885 -0.001616
59.000000 3.735665 1.000385 0.650454 -0.001669
60.000000 3.820791 1.000397 0.644111 -0.001723
61.000000 3.905567 1.000410 0.637855 -0.001778
62.000000 3.989966 1.000423 0.631687 -0.001834
63.000000 4.073961 1.000436 0.625608 -0.001891
64.000000 4.157528 1.000449 0.619617 -0.001948
65.000000 4.240647 1.000462 0.613716 -0.002006
66.000000 4.323294 1.000476 0.607904 -0.002065
67.000000 4.405452 1.000489 0.602181 -0.002125
68.000000 4.487101 1.000503 0.596547 -0.002185
69.000000 4.568225 1.000517 0.591002 -0.002246
70.000000 4.648808 1.000532 0.585544 -0.002308
71.000000 4.728836 1.000546 0.580174 -0.002370
72.000000 4.808295 1.000561 0.574891 -0.002433
73.000000 4.887173 1.000575 0.569694 -0.002497
74.000000 4.965460 1.000590 0.564582 -0.002562
75.000000 5.043144 1.000605 0.559555 -0.002627
76.000000 5.120217 1.000621 0.554612 -0.002693
77.000000 5.196671 1.000636 0.549752 -0.002760
78.000000 5.272499 1.000651 0.544973 -0.002827
79.000000 5.347694 1.000667 0.540276 -0.002896
80.000000 5.422250 1.000683 0.535658 -0.002964
81.000000 5.496162 1.000699 0.531119 -0.003034
82.000000 5.569427 1.000715 0.526658 -0.003104
83.000000 5.642041 1.000731 0.522273 -0.003175
84.000000 5.714001 1.000748 0.517964 -0.003246
85.000000 5.785304 1.000764 0.513730 -0.003318
86.000000 5.855950 1.000781 0.509568 -0.003391
87.000000 5.925937 1.000798 0.505479 -0.003464
88.000000 5.995265 1.000815 0.501461 -0.003538
89.000000 6.063933 1.000832 0.497512 -0.003612
90.000000 6.131942 1.000850 0.493632 -0.003687
91.000000 6.199293 1.000867 0.489819 -0.003763
92.000000 6.265986 1.000885 0.486072 -0.003839
93.000000 6.332025 1.000902 0.482391 -0.003916
94.000000 6.397409 1.000920 0.478773 -0.003993
95.000000 6.462143 1.000938 0.475218 -0.004071
96.000000 6.526227 1.000956 0.471725 -0.004150
97.000000 6.589666 1.000974 0.468292 -0.004229
98.000000 6.652462 1.000993 0.464919 -0.004308
99.000000 6.714619 1.001011 0.461603 -0.004389
100.000000 6.776140 1.001030 0.458346 -0.004469
101.000000 6.837030 1.001049 0.455144 -0.004551
102.000000 6.897291 1.001067 0.451997 -0.004632
103.000000 6.956929 1.001086 0.448904 -0.004714
104.000000 7.015947 1.001105 0.445864 -0.004797
105.000000 7.074351 1.001125 0.442876 -0.004880
106.000000 7.132145 1.001144 0.439939 -0.004964
107.000000 7.189333 1.001163 0.437052 -0.005048
108.000000 7.245920 1.001183 0.434214 -0.005133
109.000000 7.301912 1.001202 0.431424 -0.005218
110.000000 7.357314 1.001222 0.428681 -0.005303
111.000000 7.412130 1.001242 0.425984 -0.005389
112.000000 7.466366 1.001262 0.423333 -0.005476
113.000000 7.520027 1.001282 0.420725 -0.005562
114.000000 7.573119 1.001302 0.418162 -0.005650
115.000000 7.625647 1.001322 0.415640 -0.005737
116.000000 7.677615 1.001342 0.413161 -0.005825
117.000000 7.729031 1.001363 0.410722 -0.005914
118.000000 7.779898 1.001383 0.408324 -0.006002
119.000000 7.830224 1.001404 0.405965 -0.006091
120.000000 7.880012 1.001424 0.403645 -0.006181
121.000000 7.929269 1.001445 0.401362 -0.006271
122.000000 7.977999 1.001466 0.399117 -0.006361
123.000000 8.026210 1.001487 0.396908 -0.006452
124.000000 8.073905 1.001508 0.394734 -0.006542
125.000000 8.121091 1.001529 0.392596 -0.006634
126.000000 8.167773 1.001550 0.390491 -0.006725
127.000000 8.213956 1.001571 0.388421 -0.006817
128.000000 8.259645 1.001592 0.386383 -0.006909
129.000000 8.304847 1.001614 0.384377 -0.007001
130.000000 8.349566 1.001635 0.382403 -0.007094
131.000000 8.393808 1.001656 0.380461 -0.007187
132.000000 8.437578 1.001678 0.378548 -0.007280
133.000000 8.480881 1.001699 0.376666 -0.007374
134.000000 8.523722 1.001721 0.374812 -0.007467
135.000000 8.566107 1.001743 0.372988 -0.007561
136.000000 8.608041 1.001764 0.371191 -0.007655
137.000000 8.649528 1.001786 0.369423 -0.007750
138.000000 8.690574 1.001808 0.367681 -0.007844
139.000000 8.731184 1.001830 0.365966 -0.007939
140.000000 8.771363 1.001852 0.364277 -0.008034
141.000000 8.811114 1.001874 0.362614 -0.008129
142.000000 8.850444 1.001896 0.360976 -0.008224
143.000000 8.889358 1.001918 0.359362 -0.008320
144.000000 8.927858 1.001940 0.357773 -0.008415
145.000000 8.965952 1.001962 0.356207 -0.008511
146.000000 9.003642 1.001984 0.354665 -0.008607
147.000000 9.040934 1.002006 0.353145 -0.008703
148.000000 9.077832 1.002028 0.351648 -0.008799
149.000000 9.114341 1.002050 0.350173 -0.008895
150.000000 9.150464 1.002073 0.348720 -0.008991
151.000000 9.186207 1.002095 0.347288 -0.009088
152.000000 9.221574 1.002117 0.345877 -0.009184
153.000000 9.256568 1.002139 0.344486 -0.009280
154.000000 9.291194 1.002162 0.343115 -0.009377
155.000000 9.325456 1.002184 0.341765 -0.009474
156.000000 9.359359 1.002206 0.340433 -0.009570
157.000000 9.392905 1.002229 0.339121 -0.009667
158.000000 9.426100 1.002251 0.337828 -0.009764
159.000000 9.458947 1.002273 0.336552 -0.009860
160.000000 9.491449 1.002296 0.335295 -0.009957
161.000000 9.523612 1.002318 0.334056 -0.010054
162.000000 9.555438 1.002340 0.332834 -0.010151
163.000000 9.586931 1.002362 0.331630 -0.010247
164.000000 9.618095 1.002385 0.330442 -0.010344
165.000000 9.648933 1.002407 0.329271 -0.010440
166.000000 9.679449 1.002429 0.328116 -0.010537
167.000000 9.709646 1.002452 0.326977 -0.010633
168.000000 9.739529 1.002474 0.325854 -0.010730
169.000000 9.769099 1.002496 0.324747 -0.010826
170.000000 9.798362 1.002518 0.323655 -0.010922
171.000000 9.827319 1.002540 0.322577 -0.011019
172.000000 9.855974 1.002563 0.321515 -0.011115
173.000000 9.884331 1.002585 0.320467 -0.011210
174.000000 9.912392 1.002607 0.319433 -0.011306
175.000000 9.940160 1.002629 0.318414 -0.011402
176.000000 9.967640 1.002651 0.317408 -0.011497
177.000000 9.994833 1.002673 0.316416 -0.011593
178.000000 10.021743 1.002695 0.315437 -0.011688
179.000000 10.048372 1.002717 0.314472 -0.011783
180.000000 10.074724 1.002739 0.313519 -0.011878
181.000000 10.100801 1.002761 0.312579 -0.011972
182.000000 10.126606 1.002783 0.311652 -0.012067
183.000000 10.152142 1.002804 0.310737 -0.012161
184.000000 10.177411 1.002826 0.309834 -0.012255
185.000000 10.202417 1.002848 0.308944 -0.012349
186.000000 10.227161 1.002869 0.308065 -0.012442
187.000000 10.251647 1.002891 0.307197 -0.012536
188.000000 10.275877 1.002912 0.306342 -0.012629
189.000000 10.299854 1.002934 0.305497 -0.012722
190.000000 10.323579 1.002955 0.304664 -0.012814
191.000000 10.347056 1.002976 0.303842 -0.012906
192.000000 10.370287 1.002998 0.303030 -0.012998
193.000000 10.393274 1.003019 0.302229 -0.013090
194.000000 10.416019 1.003040 0.301439 -0.013181
195.000000 10.438526 1.003061 0.300659 -0.013272
196.000000 10.460795 1.003082 0.299889 -0.013363
197.000000 10.482830 1.003103 0.299129 -0.013453
198.000000 10.504632 1.003124 0.298379 -0.013543
199.000000 10.526203 1.003144 0.297639 -0.013633
200.000000 10.547547 1.003165 0.296909 -0.013723
201.000000 10.568664 1.003185 0.296188 -0.013811
